Node,Hub Score
u28236,1.7296069987362428e-07
u10213,1.5981613781108193e-06
u4559,2.519252232043728e-06
u21488,3.397567150654932e-07
u11674,2.591033536085016e-06
u21019,1.1803302210114652e-07
u8486,4.754319374195722e-07
u2132,3.4485798575709174e-07
u13690,4.0648469836717165e-07
u6918,5.003660830993874e-07
u16378,3.089476743361888e-07
u17141,5.94207655972572e-07
u7517,1.09685754863261e-06
u21334,3.5192338697544345e-07
u21273,1.7905461432178825e-07
u21379,1.3292299918747535e-08
u1788,5.065441760714215e-06
u11000,4.574356709733371e-07
u10005,4.895525667575498e-07
u26570,1.3803329731522972e-139
u28372,9.371647572654407e-08
u3159,2.775750614951092e-06
u24705,1.3803329731522972e-139
u22877,1.5144905626099233e-08
u14001,4.344952826661383e-07
u9186,1.3493410206840061e-05
u8837,3.862285036618108e-07
u5984,8.929490529632589e-07
u19758,3.177834176695613e-07
u6077,6.097471813135054e-07
u28401,9.04510802634694e-09
u24203,3.9485118950841795e-08
u18831,1.3803329731522972e-139
u27850,2.1274566897584477e-07
u26363,1.3803329731522972e-139
u24897,1.665068944372335e-09
u29231,1.3803329731522972e-139
u19390,3.1495886861144633e-07
u4883,1.6950562230858987e-07
u16386,1.1766236670048487e-06
u23874,1.3053855938646738e-07
u7372,3.2920456859014867e-07
u27905,1.3803329731522972e-139
u15410,3.5463429456179127e-07
u4264,1.0950154026450862e-05
u27963,9.451807285745406e-09
u294,2.760671071848282e-06
u18947,1.0191489385147799e-08
u9405,6.332363772761491e-07
u27805,1.6894973709718137e-07
u10798,5.30098565571862e-07
u17469,7.869943232640661e-07
u18817,1.3737231832857648e-07
u17023,3.921852837223398e-07
u4702,1.6950562230858987e-07
u6604,3.347578664711693e-06
u8589,1.7523325330807346e-07
u2189,3.4485798575709174e-07
u13752,5.661667136500103e-07
u11600,4.306603086152058e-07
u12743,5.218430584852115e-07
u21554,6.48948600066447e-08
u18965,1.72362078837375e-07
u940,1.2022911307404277e-05
u2050,7.930876971106022e-07
u2682,2.189789352700381e-05
u6743,8.085287658941296e-07
u14713,7.317537910004649e-07
u24748,7.874227342127617e-08
u19937,4.8591125754622544e-08
u25413,1.3803329731522972e-139
u13350,3.445780833675081e-07
u9026,4.281346798841479e-07
u13287,4.058572432838842e-07
u24426,8.916842426186799e-08
u14933,4.393959617194089e-08
u4399,4.6640821307923404e-07
